<Event(17-VideoExpose {})>
<Event(16-VideoResize {'size': (600, 400), 'w': 600, 'h': 400})>
<Event(1-ActiveEvent {'gain': 0, 'state': 1})>
<Event(4-MouseMotion {'pos': (579, 24), 'rel': (0, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 21), 'rel': (0, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 18), 'rel': (0, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 15), 'rel': (0, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 14), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 12), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 11), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 10), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 9), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 7), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 4), 'rel': (0, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (581, 3), 'rel': (2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (581, 2), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (581, 0), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(1-ActiveEvent {'gain': 0, 'state': 1})>
<Event(12-Quit {})>
